COUNTRY,COUNTRY_GRP,AGE_GRP_LIST,SEX,YEAR,VALUE
ALB,,TOTAL,FEMALE,1987,67
ALB,,TOTAL,FEMALE,1988,79
ALB,,TOTAL,FEMALE,1989,51
ALB,,TOTAL,FEMALE,1992,71
ALB,,TOTAL,FEMALE,1993,70
ALB,,TOTAL,FEMALE,1994,75
ALB,,TOTAL,FEMALE,1995,86
ALB,,TOTAL,FEMALE,1996,115
ALB,,TOTAL,FEMALE,1997,118
ALB,,TOTAL,FEMALE,1998,120
ALB,,TOTAL,FEMALE,1999,120
ALB,,TOTAL,FEMALE,2000,113
ALB,,TOTAL,FEMALE,2001,99
ALB,,TOTAL,FEMALE,2002,138
ALB,,TOTAL,FEMALE,2003,144
ALB,,TOTAL,FEMALE,2004,141
ALB,,TOTAL,FEMALE,2005,104
ALB,,TOTAL,FEMALE,2006,122
ALB,,TOTAL,FEMALE,2007,95
ALB,,TOTAL,FEMALE,2008,117
ALB,,TOTAL,FEMALE,2009,128
AND,,TOTAL,FEMALE,2011,0
AND,,TOTAL,FEMALE,2012,3
AND,,TOTAL,FEMALE,2013,7
AND,,TOTAL,FEMALE,2014,1
AND,,TOTAL,FEMALE,2015,8
AND,,TOTAL,FEMALE,2016,8
AND,,TOTAL,FEMALE,2017,8
AND,,TOTAL,FEMALE,2018,8
AND,,TOTAL,FEMALE,2019,6
AND,,TOTAL,FEMALE,2020,8
ARM,,TOTAL,FEMALE,1981,63
ARM,,TOTAL,FEMALE,1982,79
ARM,,TOTAL,FEMALE,1985,92
ARM,,TOTAL,FEMALE,1986,108
ARM,,TOTAL,FEMALE,1987,92
ARM,,TOTAL,FEMALE,1988,100
ARM,,TOTAL,FEMALE,1989,102
ARM,,TOTAL,FEMALE,1990,115
ARM,,TOTAL,FEMALE,1991,104
ARM,,TOTAL,FEMALE,1992,133
ARM,,TOTAL,FEMALE,1993,122
ARM,,TOTAL,FEMALE,1994,114
ARM,,TOTAL,FEMALE,1995,92
ARM,,TOTAL,FEMALE,1996,88
ARM,,TOTAL,FEMALE,1997,102
ARM,,TOTAL,FEMALE,1998,112
ARM,,TOTAL,FEMALE,1999,106
ARM,,TOTAL,FEMALE,2000,144
ARM,,TOTAL,FEMALE,2001,138
ARM,,TOTAL,FEMALE,2002,137
ARM,,TOTAL,FEMALE,2003,132
ARM,,TOTAL,FEMALE,2006,204
ARM,,TOTAL,FEMALE,2007,188
ARM,,TOTAL,FEMALE,2008,226
ARM,,TOTAL,FEMALE,2009,227
ARM,,TOTAL,FEMALE,2010,187
ARM,,TOTAL,FEMALE,2011,211
ARM,,TOTAL,FEMALE,2012,208
ARM,,TOTAL,FEMALE,2013,191
ARM,,TOTAL,FEMALE,2014,192
ARM,,TOTAL,FEMALE,2015,222
ARM,,TOTAL,FEMALE,2016,195
ARM,,TOTAL,FEMALE,2017,226
ARM,,TOTAL,FEMALE,2018,189
ARM,,TOTAL,FEMALE,2019,236
ARM,,TOTAL,FEMALE,2022,204
AUT,,TOTAL,FEMALE,1969,472
AUT,,TOTAL,FEMALE,1970,436
AUT,,TOTAL,FEMALE,1971,509
AUT,,TOTAL,FEMALE,1972,498
AUT,,TOTAL,FEMALE,1973,511
AUT,,TOTAL,FEMALE,1974,554
AUT,,TOTAL,FEMALE,1975,544
AUT,,TOTAL,FEMALE,1976,522
AUT,,TOTAL,FEMALE,1977,569
AUT,,TOTAL,FEMALE,1978,592
AUT,,TOTAL,FEMALE,1979,599
AUT,,TOTAL,FEMALE,1980,619
AUT,,TOTAL,FEMALE,1981,635
AUT,,TOTAL,FEMALE,1982,674
AUT,,TOTAL,FEMALE,1983,649
AUT,,TOTAL,FEMALE,1984,746
AUT,,TOTAL,FEMALE,1985,692
AUT,,TOTAL,FEMALE,1986,655
AUT,,TOTAL,FEMALE,1987,740
AUT,,TOTAL,FEMALE,1988,769
AUT,,TOTAL,FEMALE,1989,717
AUT,,TOTAL,FEMALE,1990,752
AUT,,TOTAL,FEMALE,1991,817
AUT,,TOTAL,FEMALE,1992,806
AUT,,TOTAL,FEMALE,1993,808
AUT,,TOTAL,FEMALE,1994,864
AUT,,TOTAL,FEMALE,1995,833
AUT,,TOTAL,FEMALE,1996,868
AUT,,TOTAL,FEMALE,1997,929
AUT,,TOTAL,FEMALE,1998,924
AUT,,TOTAL,FEMALE,1999,951
AUT,,TOTAL,FEMALE,2000,984
AUT,,TOTAL,FEMALE,2001,937
AUT,,TOTAL,FEMALE,2002,1026
AUT,,TOTAL,FEMALE,2003,993
AUT,,TOTAL,FEMALE,2004,1069
AUT,,TOTAL,FEMALE,2005,1031
AUT,,TOTAL,FEMALE,2006,1059
AUT,,TOTAL,FEMALE,2007,1184
AUT,,TOTAL,FEMALE,2008,1222
AUT,,TOTAL,FEMALE,2009,1174
AUT,,TOTAL,FEMALE,2010,1266
AUT,,TOTAL,FEMALE,2011,1297
AUT,,TOTAL,FEMALE,2012,1342
AUT,,TOTAL,FEMALE,2013,1301
AUT,,TOTAL,FEMALE,2014,1458
AUT,,TOTAL,FEMALE,2015,1493
AUT,,TOTAL,FEMALE,2016,1534
AUT,,TOTAL,FEMALE,2017,1472
AUT,,TOTAL,FEMALE,2018,1570
AUT,,TOTAL,FEMALE,2019,1648
AUT,,TOTAL,FEMALE,2020,1635
AUT,,TOTAL,FEMALE,2021,1725
AZE,,TOTAL,FEMALE,1981,124
AZE,,TOTAL,FEMALE,1982,152
AZE,,TOTAL,FEMALE,1985,136
AZE,,TOTAL,FEMALE,1986,151
AZE,,TOTAL,FEMALE,1987,174
AZE,,TOTAL,FEMALE,1988,172
AZE,,TOTAL,FEMALE,1989,150
AZE,,TOTAL,FEMALE,1990,139
AZE,,TOTAL,FEMALE,1991,154
AZE,,TOTAL,FEMALE,1992,158
AZE,,TOTAL,FEMALE,1993,145
AZE,,TOTAL,FEMALE,1994,149
AZE,,TOTAL,FEMALE,1995,112
AZE,,TOTAL,FEMALE,1996,127
AZE,,TOTAL,FEMALE,1997,128
AZE,,TOTAL,FEMALE,1998,118
AZE,,TOTAL,FEMALE,1999,147
AZE,,TOTAL,FEMALE,2000,143
AZE,,TOTAL,FEMALE,2001,152
AZE,,TOTAL,FEMALE,2002,183
AZE,,TOTAL,FEMALE,2003,184
AZE,,TOTAL,FEMALE,2004,186
AZE,,TOTAL,FEMALE,2007,119
BEL,,TOTAL,FEMALE,1968,389
BEL,,TOTAL,FEMALE,1969,383
BEL,,TOTAL,FEMALE,1970,374
BEL,,TOTAL,FEMALE,1971,397
BEL,,TOTAL,FEMALE,1972,441
BEL,,TOTAL,FEMALE,1973,505
BEL,,TOTAL,FEMALE,1974,486
BEL,,TOTAL,FEMALE,1975,513
BEL,,TOTAL,FEMALE,1976,496
BEL,,TOTAL,FEMALE,1977,541
BEL,,TOTAL,FEMALE,1978,524
BEL,,TOTAL,FEMALE,1979,529
BEL,,TOTAL,FEMALE,1980,570
BEL,,TOTAL,FEMALE,1981,625
BEL,,TOTAL,FEMALE,1982,605
BEL,,TOTAL,FEMALE,1983,608
BEL,,TOTAL,FEMALE,1984,616
BEL,,TOTAL,FEMALE,1985,697
BEL,,TOTAL,FEMALE,1986,736
BEL,,TOTAL,FEMALE,1987,712
BEL,,TOTAL,FEMALE,1988,718
BEL,,TOTAL,FEMALE,1989,750
BEL,,TOTAL,FEMALE,1990,789
BEL,,TOTAL,FEMALE,1991,844
BEL,,TOTAL,FEMALE,1992,927
BEL,,TOTAL,FEMALE,1993,915
BEL,,TOTAL,FEMALE,1994,954
BEL,,TOTAL,FEMALE,1995,975
BEL,,TOTAL,FEMALE,1996,984
BEL,,TOTAL,FEMALE,1997,1090
BEL,,TOTAL,FEMALE,1998,1035
BEL,,TOTAL,FEMALE,1999,1029
BEL,,TOTAL,FEMALE,2000,1129
BEL,,TOTAL,FEMALE,2001,1088
BEL,,TOTAL,FEMALE,2002,1152
BEL,,TOTAL,FEMALE,2003,1219
BEL,,TOTAL,FEMALE,2004,1279
BEL,,TOTAL,FEMALE,2005,1384
BEL,,TOTAL,FEMALE,2006,1465
BEL,,TOTAL,FEMALE,2007,1504
BEL,,TOTAL,FEMALE,2008,1574
