COUNTRY,COUNTRY_GRP,AGE_GRP_LIST,SEX,YEAR,VALUE
ALB,,0,FEMALE,1987,1169.71
ALB,,0,FEMALE,1988,902.81
ALB,,0,FEMALE,1989,1154.04
ALB,,0,FEMALE,1992,1346.94
ALB,,0,FEMALE,1993,1585.99
ALB,,0,FEMALE,1994,951.95
ALB,,0,FEMALE,1995,921.69
ALB,,0,FEMALE,1996,807.56
ALB,,0,FEMALE,1997,536.91
ALB,,0,FEMALE,1998,418.06
ALB,,0,FEMALE,1999,242.52
ALB,,0,FEMALE,2000,220.97
ALB,,0,FEMALE,2001,231.72
ALB,,0,FEMALE,2002,278.82
ALB,,0,FEMALE,2003,181.26
ALB,,0,FEMALE,2004,128.14
ALB,,0,FEMALE,2005,130.33
ALB,,0,FEMALE,2006,83.57
ALB,,0,FEMALE,2007,35.58
ALB,,0,FEMALE,2008,54.33
ALB,,0,FEMALE,2009,84.39
ARM,,0,FEMALE,1981,1011.59
ARM,,0,FEMALE,1982,988.73
ARM,,0,FEMALE,1985,1146.91
ARM,,0,FEMALE,1986,912.82
ARM,,0,FEMALE,1987,780.1
ARM,,0,FEMALE,1988,617.89
ARM,,0,FEMALE,1989,621.55
ARM,,0,FEMALE,1990,463.22
ARM,,0,FEMALE,1991,488.13
ARM,,0,FEMALE,1992,462.18
ARM,,0,FEMALE,1993,432.26
ARM,,0,FEMALE,1994,394.64
ARM,,0,FEMALE,1995,258.47
ARM,,0,FEMALE,1996,356.83
ARM,,0,FEMALE,1997,252.34
ARM,,0,FEMALE,1998,281.25
ARM,,0,FEMALE,1999,335.26
ARM,,0,FEMALE,2000,305.19
ARM,,0,FEMALE,2001,239.57
ARM,,0,FEMALE,2002,177.57
ARM,,0,FEMALE,2003,128.32
ARM,,0,FEMALE,2006,98.69
ARM,,0,FEMALE,2007,89.05
ARM,,0,FEMALE,2008,154.82
ARM,,0,FEMALE,2009,126.42
ARM,,0,FEMALE,2012,179.37
ARM,,0,FEMALE,2013,106.79
ARM,,0,FEMALE,2014,110.64
ARM,,0,FEMALE,2015,136.23
ARM,,0,FEMALE,2016,67.49
ARM,,0,FEMALE,2017,130.14
ARM,,0,FEMALE,2018,108.34
ARM,,0,FEMALE,2019,75.88
ARM,,0,FEMALE,2022,34.75
AUT,,0,FEMALE,1969,196.28
AUT,,0,FEMALE,1970,215.05
AUT,,0,FEMALE,1971,213.05
AUT,,0,FEMALE,1972,193.68
AUT,,0,FEMALE,1973,130.71
AUT,,0,FEMALE,1974,139.19
AUT,,0,FEMALE,1975,134.49
AUT,,0,FEMALE,1976,123.57
AUT,,0,FEMALE,1977,116.95
AUT,,0,FEMALE,1978,93.98
AUT,,0,FEMALE,1979,119.62
AUT,,0,FEMALE,1980,79.07
AUT,,0,FEMALE,1981,63.88
AUT,,0,FEMALE,1982,65.12
AUT,,0,FEMALE,1983,40
AUT,,0,FEMALE,1984,64.22
AUT,,0,FEMALE,1985,32.67
AUT,,0,FEMALE,1986,49.67
AUT,,0,FEMALE,1987,23.7
AUT,,0,FEMALE,1988,7.09
AUT,,0,FEMALE,1989,18.63
AUT,,0,FEMALE,1990,18.31
AUT,,0,FEMALE,1991,28.92
AUT,,0,FEMALE,1992,10.89
AUT,,0,FEMALE,1993,8.68
AUT,,0,FEMALE,1994,11.01
AUT,,0,FEMALE,1995,11.37
AUT,,0,FEMALE,1996,2.31
AUT,,0,FEMALE,1997,0
AUT,,0,FEMALE,1998,2.47
AUT,,0,FEMALE,1999,5.12
AUT,,0,FEMALE,2000,5.22
AUT,,0,FEMALE,2001,0
AUT,,0,FEMALE,2002,0
AUT,,0,FEMALE,2003,2.66
AUT,,0,FEMALE,2004,10.6
AUT,,0,FEMALE,2005,2.61
AUT,,0,FEMALE,2006,0
AUT,,0,FEMALE,2007,2.65
AUT,,0,FEMALE,2008,0
AUT,,0,FEMALE,2009,0
AUT,,0,FEMALE,2010,2.67
AUT,,0,FEMALE,2011,0
AUT,,0,FEMALE,2012,5.33
AUT,,0,FEMALE,2013,2.65
AUT,,0,FEMALE,2014,2.59
AUT,,0,FEMALE,2015,0
AUT,,0,FEMALE,2016,0
AUT,,0,FEMALE,2017,9.48
AUT,,0,FEMALE,2018,0
AUT,,0,FEMALE,2019,0
AUT,,0,FEMALE,2020,0
AUT,,0,FEMALE,2021,0
AZE,,0,FEMALE,1981,1674.93
AZE,,0,FEMALE,1982,1606.45
AZE,,0,FEMALE,1985,1360.47
AZE,,0,FEMALE,1986,1556.31
AZE,,0,FEMALE,1987,1444.57
AZE,,0,FEMALE,1988,1438.8
AZE,,0,FEMALE,1989,1145.16
AZE,,0,FEMALE,1990,1035.35
AZE,,0,FEMALE,1991,1333.33
AZE,,0,FEMALE,1992,1374.17
AZE,,0,FEMALE,1993,1571.6
AZE,,0,FEMALE,1994,1243.62
AZE,,0,FEMALE,1995,1092.7
AZE,,0,FEMALE,1996,933.14
AZE,,0,FEMALE,1997,874.45
AZE,,0,FEMALE,1998,656.38
AZE,,0,FEMALE,1999,596.39
AZE,,0,FEMALE,2000,632.45
AZE,,0,FEMALE,2001,581.2
AZE,,0,FEMALE,2002,606.48
AZE,,0,FEMALE,2003,507.75
AZE,,0,FEMALE,2004,492.91
AZE,,0,FEMALE,2007,222.06
BEL,,0,FEMALE,1968,136.89
BEL,,0,FEMALE,1969,74.67
BEL,,0,FEMALE,1970,88.37
BEL,,0,FEMALE,1971,62.04
BEL,,0,FEMALE,1972,51.36
BEL,,0,FEMALE,1973,84.64
BEL,,0,FEMALE,1974,54.23
BEL,,0,FEMALE,1975,39.38
BEL,,0,FEMALE,1976,51.81
BEL,,0,FEMALE,1977,41.1
BEL,,0,FEMALE,1978,46
BEL,,0,FEMALE,1979,18.68
BEL,,0,FEMALE,1980,18.64
BEL,,0,FEMALE,1981,18.39
BEL,,0,FEMALE,1982,10.19
BEL,,0,FEMALE,1983,15.44
BEL,,0,FEMALE,1984,10.29
BEL,,0,FEMALE,1985,14.44
BEL,,0,FEMALE,1986,8.93
BEL,,0,FEMALE,1987,14.21
BEL,,0,FEMALE,1988,5.24
BEL,,0,FEMALE,1989,6.86
BEL,,0,FEMALE,1990,11.74
BEL,,0,FEMALE,1991,11.51
BEL,,0,FEMALE,1992,4.92
BEL,,0,FEMALE,1993,5.03
BEL,,0,FEMALE,1994,12.22
BEL,,0,FEMALE,1995,3.57
BEL,,0,FEMALE,1996,8.88
BEL,,0,FEMALE,1997,1.76
BEL,,0,FEMALE,1998,5.36
BEL,,0,FEMALE,1999,5.41
BEL,,0,FEMALE,2000,7.18
BEL,,0,FEMALE,2001,3.59
BEL,,0,FEMALE,2002,1.82
BEL,,0,FEMALE,2003,1.83
BEL,,0,FEMALE,2004,1.8
BEL,,0,FEMALE,2005,7.02
BEL,,0,FEMALE,2006,0
BEL,,0,FEMALE,2007,6.74
BEL,,0,FEMALE,2008,1.66
BEL,,0,FEMALE,2009,3.24
BEL,,0,FEMALE,2010,4.85
BEL,,0,FEMALE,2011,6.28
BEL,,0,FEMALE,2012,0
BEL,,0,FEMALE,2013,4.86
BEL,,0,FEMALE,2014,1.64
BEL,,0,FEMALE,2015,6.66
BEL,,0,FEMALE,2016,3.33
BEL,,0,FEMALE,2017,0
BEL,,0,FEMALE,2018,0
BEL,,0,FEMALE,2019,1.73
BEL,,0,FEMALE,2020,3.52
BGR,,0,FEMALE,1968,1461.3
BGR,,0,FEMALE,1969,1452.8
BGR,,0,FEMALE,1970,1111.94
BGR,,0,FEMALE,1971,1066.98
BGR,,0,FEMALE,1972,1088.57
BGR,,0,FEMALE,1973,968.42
BGR,,0,FEMALE,1974,918.31
BGR,,0,FEMALE,1975,857.14
BGR,,0,FEMALE,1976,855.28
BGR,,0,FEMALE,1977,832.36
BGR,,0,FEMALE,1978,758.83
BGR,,0,FEMALE,1979,612.8
BGR,,0,FEMALE,1980,596.49
BGR,,0,FEMALE,1981,567.39
BGR,,0,FEMALE,1982,473.86
BGR,,0,FEMALE,1983,405.87
BGR,,0,FEMALE,1984,424.3
BGR,,0,FEMALE,1985,444.44
BGR,,0,FEMALE,1986,318.42
BGR,,0,FEMALE,1987,350.73
BGR,,0,FEMALE,1988,279.07
BGR,,0,FEMALE,1989,310.47
BGR,,0,FEMALE,1990,332.7
BGR,,0,FEMALE,1991,301.46
BGR,,0,FEMALE,1992,305.75
BGR,,0,FEMALE,1993,258.45
BGR,,0,FEMALE,1994,291.88
BGR,,0,FEMALE,1995,263.01
BGR,,0,FEMALE,1996,327.54
BGR,,0,FEMALE,1997,373.46
BGR,,0,FEMALE,1998,249.19
BGR,,0,FEMALE,1999,244.71
BGR,,0,FEMALE,2000,219.3
BGR,,0,FEMALE,2001,277.86
BGR,,0,FEMALE,2002,226.5
BGR,,0,FEMALE,2003,228.57
BGR,,0,FEMALE,2004,164.45
BGR,,0,FEMALE,2005,154.46
BGR,,0,FEMALE,2006,180.77
BGR,,0,FEMALE,2007,124.94
BGR,,0,FEMALE,2008,150.23
BGR,,0,FEMALE,2009,166.21
BGR,,0,FEMALE,2010,119.29
BGR,,0,FEMALE,2011,84.02
BGR,,0,FEMALE,2012,93.78
BGR,,0,FEMALE,2013,75.44
BGR,,0,FEMALE,2014,80.75
BGR,,0,FEMALE,2015,90.06
BGR,,0,FEMALE,2016,56.96
BGR,,0,FEMALE,2017,60.72
BGR,,0,FEMALE,2018,58.96
BGR,,0,FEMALE,2019,73.44
BGR,,0,FEMALE,2020,61.41
BGR,,0,FEMALE,2021,55.89
BIH,,0,FEMALE,1985,165.7
BIH,,0,FEMALE,1986,124.26
BIH,,0,FEMALE,1987,143.28
BIH,,0,FEMALE,1988,152.24
BIH,,0,FEMALE,1989,112.5
BIH,,0,FEMALE,1990,81.25
BIH,,0,FEMALE,1991,51.45
BIH,,0,FEMALE,2011,6.18
BIH,,0,FEMALE,2014,5.79
BIH,,0,FEMALE,2016,0
BIH,,0,FEMALE,2021,0
BIH,,0,FEMALE,2022,0
BLR,,0,FEMALE,1981,360.42
BLR,,0,FEMALE,1982,322.58
BLR,,0,FEMALE,1985,282.02
BLR,,0,FEMALE,1986,203.91
BLR,,0,FEMALE,1987,224.84
BLR,,0,FEMALE,1988,178.34
BLR,,0,FEMALE,1989,142.3
BLR,,0,FEMALE,1990,128.31
BLR,,0,FEMALE,1991,159.56
BLR,,0,FEMALE,1992,154.59
BLR,,0,FEMALE,1993,173.14
BLR,,0,FEMALE,1994,150.91
BLR,,0,FEMALE,1995,137.8
BLR,,0,FEMALE,1996,101.81
BLR,,0,FEMALE,1997,156.6
BLR,,0,FEMALE,1998,100.46
BLR,,0,FEMALE,1999,89.69
BLR,,0,FEMALE,2000,84.5
BLR,,0,FEMALE,2001,71.7
BLR,,0,FEMALE,2002,36.83
BLR,,0,FEMALE,2003,25.71
BLR,,0,FEMALE,2004,39.64
BLR,,0,FEMALE,2005,23
BLR,,0,FEMALE,2007,8.27
BLR,,0,FEMALE,2008,7.83
BLR,,0,FEMALE,2009,11.44
BLR,,0,FEMALE,2010,9.53
BLR,,0,FEMALE,2011,11.42
BLR,,0,FEMALE,2013,10.56
BLR,,0,FEMALE,2014,5.23
BLR,,0,FEMALE,2018,4.16
,CARINFONET,0,FEMALE,1981,2143.94
,CARINFONET,0,FEMALE,1982,2028.7
,CARINFONET,0,FEMALE,1985,1860.11
,CARINFONET,0,FEMALE,1986,1753.84
,CARINFONET,0,FEMALE,1987,1681.35
,CARINFONET,0,FEMALE,1988,1648.86
,CARINFONET,0,FEMALE,1989,1419.02
,CARINFONET,0,FEMALE,1990,1274.87
,CARINFONET,0,FEMALE,1991,1297.38
,CARINFONET,0,FEMALE,1992,1299.94
,CARINFONET,0,FEMALE,1993,1264.51
,CARINFONET,0,FEMALE,1994,1228.65
,CARINFONET,0,FEMALE,1995,1145.33
,CARINFONET,0,FEMALE,1996,1043.33
,CARINFONET,0,FEMALE,1997,940.48
,CARINFONET,0,FEMALE,1998,866.79
,CARINFONET,0,FEMALE,1999,759.82
,CARINFONET,0,FEMALE,2000,658.66
,CARINFONET,0,FEMALE,2001,666.27
,CARINFONET,0,FEMALE,2002,575.76
,CARINFONET,0,FEMALE,2003,490.28
,CARINFONET,0,FEMALE,2004,449.07
,CARINFONET,0,FEMALE,2005,482.81
,CARINFONET,0,FEMALE,2006,437.99
,CARINFONET,0,FEMALE,2007,408.36
,CARINFONET,0,FEMALE,2008,384.7
,CARINFONET,0,FEMALE,2009,328.91
,CARINFONET,0,FEMALE,2010,298.04
,CARINFONET,0,FEMALE,2011,262.33
,CARINFONET,0,FEMALE,2012,248.3
,CARINFONET,0,FEMALE,2013,239.33
,CARINFONET,0,FEMALE,2014,218.88
,CARINFONET,0,FEMALE,2015,194.99
,CARINFONET,0,FEMALE,2016,198.03
CHE,,0,FEMALE,1969,65.84
CHE,,0,FEMALE,1970,80.68
CHE,,0,FEMALE,1971,90.52
CHE,,0,FEMALE,1972,58.04
CHE,,0,FEMALE,1973,63.83
CHE,,0,FEMALE,1974,74.26
CHE,,0,FEMALE,1975,55.26
CHE,,0,FEMALE,1976,41.67
CHE,,0,FEMALE,1977,59.66
CHE,,0,FEMALE,1978,31.79
CHE,,0,FEMALE,1979,43.6
CHE,,0,FEMALE,1980,53.98
CHE,,0,FEMALE,1981,30.81
CHE,,0,FEMALE,1982,24.93
CHE,,0,FEMALE,1983,27.62
CHE,,0,FEMALE,1984,36.21
CHE,,0,FEMALE,1985,33.15
CHE,,0,FEMALE,1986,16.3
CHE,,0,FEMALE,1987,10.75
CHE,,0,FEMALE,1988,23.75
CHE,,0,FEMALE,1989,15.35
CHE,,0,FEMALE,1990,10
CHE,,0,FEMALE,1991,14.46
CHE,,0,FEMALE,1992,9.59
CHE,,0,FEMALE,1993,4.85
CHE,,0,FEMALE,1994,2.49
CHE,,0,FEMALE,1995,0
CHE,,0,FEMALE,1996,5
CHE,,0,FEMALE,1997,5.06
CHE,,0,FEMALE,1998,2.6
CHE,,0,FEMALE,1999,0
CHE,,0,FEMALE,2000,5.29
CHE,,0,FEMALE,2001,2.73
CHE,,0,FEMALE,2002,2.87
CHE,,0,FEMALE,2003,0
CHE,,0,FEMALE,2004,2.84
CHE,,0,FEMALE,2005,2.83
CHE,,0,FEMALE,2006,0
CHE,,0,FEMALE,2007,2.79
CHE,,0,FEMALE,2008,2.73
CHE,,0,FEMALE,2009,0
CHE,,0,FEMALE,2010,2.61
CHE,,0,FEMALE,2011,2.63
CHE,,0,FEMALE,2012,0
CHE,,0,FEMALE,2013,2.56
CHE,,0,FEMALE,2015,2.44
CHE,,0,FEMALE,2016,0
CHE,,0,FEMALE,2017,4.77
CHE,,0,FEMALE,2018,0
CHE,,0,FEMALE,2019,2.4
,CIS,0,FEMALE,1981,1014.57
,CIS,0,FEMALE,1982,946.34
,CIS,0,FEMALE,1985,850.85
,CIS,0,FEMALE,1986,781.62
,CIS,0,FEMALE,1987,738.43
,CIS,0,FEMALE,1988,727.7
,CIS,0,FEMALE,1989,619.63
,CIS,0,FEMALE,1990,572.33
,CIS,0,FEMALE,1991,622.51
,CIS,0,FEMALE,1992,648.45
,CIS,0,FEMALE,1993,688.18
,CIS,0,FEMALE,1994,634.64
,CIS,0,FEMALE,1995,592.31
,CIS,0,FEMALE,1996,538.22
,CIS,0,FEMALE,1997,496.73
,CIS,0,FEMALE,1998,446.87
,CIS,0,FEMALE,1999,406.01
,CIS,0,FEMALE,2000,345.16
,CIS,0,FEMALE,2001,333.61
,CIS,0,FEMALE,2002,286.9
,CIS,0,FEMALE,2003,242.54
,CIS,0,FEMALE,2004,218.79
,CIS,0,FEMALE,2005,215.3
,CIS,0,FEMALE,2006,201.68
,CIS,0,FEMALE,2007,183.4
,CIS,0,FEMALE,2008,173.29
,CIS,0,FEMALE,2009,150.89
,CIS,0,FEMALE,2010,139.58
,CIS,0,FEMALE,2011,126.52
,CIS,0,FEMALE,2012,116.8
,CIS,0,FEMALE,2013,114.23
,CIS,0,FEMALE,2014,107.32
,CIS,0,FEMALE,2015,97.55
CYP,,0,FEMALE,1999,0
CYP,,0,FEMALE,2000,0
CYP,,0,FEMALE,2004,0
CYP,,0,FEMALE,2005,0
CYP,,0,FEMALE,2006,0
CYP,,0,FEMALE,2007,0
CYP,,0,FEMALE,2008,0
CYP,,0,FEMALE,2009,42.63
CYP,,0,FEMALE,2010,20.68
CYP,,0,FEMALE,2011,0
CYP,,0,FEMALE,2012,0
CYP,,0,FEMALE,2013,0
CYP,,0,FEMALE,2014,0
CYP,,0,FEMALE,2015,0
CYP,,0,FEMALE,2016,0
CYP,,0,FEMALE,2017,0
CYP,,0,FEMALE,2018,0
CYP,,0,FEMALE,2019,0
CYP,,0,FEMALE,2020,0
CYP,,0,FEMALE,2021,0
CZE,,0,FEMALE,1986,48.21
CZE,,0,FEMALE,1987,31.4
CZE,,0,FEMALE,1988,28.26
CZE,,0,FEMALE,1989,33.18
CZE,,0,FEMALE,1990,36.68
CZE,,0,FEMALE,1991,32.1
CZE,,0,FEMALE,1992,31.4
CZE,,0,FEMALE,1993,23.89
CZE,,0,FEMALE,1994,21.78
CZE,,0,FEMALE,1995,14.29
CZE,,0,FEMALE,1996,11.09
CZE,,0,FEMALE,1997,20.5
CZE,,0,FEMALE,1998,18.22
CZE,,0,FEMALE,1999,18.32
CZE,,0,FEMALE,2000,9.17
CZE,,0,FEMALE,2001,20.63
CZE,,0,FEMALE,2002,11.21
CZE,,0,FEMALE,2003,22.05
CZE,,0,FEMALE,2004,6.45
CZE,,0,FEMALE,2005,6.17
CZE,,0,FEMALE,2006,9.89
CZE,,0,FEMALE,2007,5.59
CZE,,0,FEMALE,2008,10.47
CZE,,0,FEMALE,2009,1.71
CZE,,0,FEMALE,2010,5.21
CZE,,0,FEMALE,2011,10.82
CZE,,0,FEMALE,2012,5.66
CZE,,0,FEMALE,2013,5.7
CZE,,0,FEMALE,2014,3.79
CZE,,0,FEMALE,2015,0
CZE,,0,FEMALE,2016,3.68
CZE,,0,FEMALE,2017,1.81
CZE,,0,FEMALE,2018,3.59
CZE,,0,FEMALE,2019,9.07
CZE,,0,FEMALE,2020,3.69
CZE,,0,FEMALE,2021,1.87
DEU,,0,FEMALE,1990,15.38
DEU,,0,FEMALE,1991,8.5
DEU,,0,FEMALE,1992,7.99
DEU,,0,FEMALE,1993,7.65
DEU,,0,FEMALE,1994,3.41
DEU,,0,FEMALE,1995,3.21
DEU,,0,FEMALE,1996,3.42
DEU,,0,FEMALE,1997,3.83
DEU,,0,FEMALE,1998,1.8
DEU,,0,FEMALE,1999,3.44
DEU,,0,FEMALE,2000,2.67
DEU,,0,FEMALE,2001,2.74
DEU,,0,FEMALE,2002,3.11
DEU,,0,FEMALE,2003,3.17
DEU,,0,FEMALE,2004,3.49
DEU,,0,FEMALE,2005,3.54
DEU,,0,FEMALE,2006,3.63
DEU,,0,FEMALE,2007,3.94
DEU,,0,FEMALE,2008,3.6
DEU,,0,FEMALE,2009,2.13
DEU,,0,FEMALE,2010,0.31
DEU,,0,FEMALE,2011,3.67
DEU,,0,FEMALE,2012,2.46
DEU,,0,FEMALE,2013,1.51
DEU,,0,FEMALE,2014,0.88
DEU,,0,FEMALE,2015,1.97
DEU,,0,FEMALE,2016,2.41
DEU,,0,FEMALE,2017,1.3
DEU,,0,FEMALE,2018,2.88
DEU,,0,FEMALE,2019,2.9
DEU,,0,FEMALE,2020,1.6
DNK,,0,FEMALE,1969,42.25
DNK,,0,FEMALE,1970,52.79
DNK,,0,FEMALE,1971,26.39
DNK,,0,FEMALE,1972,33.24
DNK,,0,FEMALE,1973,21.92
DNK,,0,FEMALE,1974,17.49
DNK,,0,FEMALE,1975,32.26
DNK,,0,FEMALE,1976,9.04
DNK,,0,FEMALE,1977,22.73
DNK,,0,FEMALE,1978,33.22
DNK,,0,FEMALE,1979,23.73
DNK,,0,FEMALE,1980,42.25
DNK,,0,FEMALE,1981,37.04
DNK,,0,FEMALE,1982,31.01
DNK,,0,FEMALE,1983,31.62
DNK,,0,FEMALE,1984,11.95
DNK,,0,FEMALE,1985,19.38
DNK,,0,FEMALE,1986,7.49
DNK,,0,FEMALE,1987,0
DNK,,0,FEMALE,1988,7.19
DNK,,0,FEMALE,1989,13.7
DNK,,0,FEMALE,1990,9.9
DNK,,0,FEMALE,1991,25.56
DNK,,0,FEMALE,1992,9.4
DNK,,0,FEMALE,1993,9.09
DNK,,0,FEMALE,1994,3.02
DNK,,0,FEMALE,1995,11.66
DNK,,0,FEMALE,1996,12.08
DNK,,0,FEMALE,1997,6.01
DNK,,0,FEMALE,1998,9.35
DNK,,0,FEMALE,1999,0
DNK,,0,FEMALE,2000,6.2
DNK,,0,FEMALE,2001,6.2
DNK,,0,FEMALE,2002,0
DNK,,0,FEMALE,2003,0
DNK,,0,FEMALE,2004,6.32
DNK,,0,FEMALE,2005,6.36
DNK,,0,FEMALE,2006,3.18
DNK,,0,FEMALE,2007,3.2
DNK,,0,FEMALE,2008,0
DNK,,0,FEMALE,2009,0
DNK,,0,FEMALE,2010,3.23
DNK,,0,FEMALE,2011,0
DNK,,0,FEMALE,2012,0
DNK,,0,FEMALE,2013,0
DNK,,0,FEMALE,2014,7.33
DNK,,0,FEMALE,2015,0
DNK,,0,FEMALE,2016,3.39
DNK,,0,FEMALE,2017,3.32
DNK,,0,FEMALE,2018,9.87
DNK,,0,FEMALE,2019,6.78
DNK,,0,FEMALE,2020,0
DNK,,0,FEMALE,2021,9.98
ESP,,0,FEMALE,1968,612.74
ESP,,0,FEMALE,1969,499.52
ESP,,0,FEMALE,1971,453.48
ESP,,0,FEMALE,1972,372.66
ESP,,0,FEMALE,1973,296.93
ESP,,0,FEMALE,1974,270.76
ESP,,0,FEMALE,1975,216.89
ESP,,0,FEMALE,1976,187.42
ESP,,0,FEMALE,1977,157.46
ESP,,0,FEMALE,1978,121.37
ESP,,0,FEMALE,1979,94.06
ESP,,0,FEMALE,1980,71.4
ESP,,0,FEMALE,1981,55.97
ESP,,0,FEMALE,1982,51.58
ESP,,0,FEMALE,1983,54.76
ESP,,0,FEMALE,1984,37.33
ESP,,0,FEMALE,1985,42.42
ESP,,0,FEMALE,1986,39.57
ESP,,0,FEMALE,1987,35.51
ESP,,0,FEMALE,1988,29.97
ESP,,0,FEMALE,1989,26.36
ESP,,0,FEMALE,1990,28.54
ESP,,0,FEMALE,1991,19.67
ESP,,0,FEMALE,1992,21.7
ESP,,0,FEMALE,1993,15.4
ESP,,0,FEMALE,1994,9.83
ESP,,0,FEMALE,1995,8.7
ESP,,0,FEMALE,1996,8.57
ESP,,0,FEMALE,1997,7.02
