country,EHCI_score
Albania,544
Romania,549
Hungary,565
Poland,585
Bulgaria,591
Latvia,605
Greece,615
Lithuania,622
Malta,631
Cyprus,635
North Macedonia,638
Croatia,644
Montenegro,668
Ireland,669
Slovenia,678
Italy,687
Spain,698
Serbia,699
Slovakia,722
United Kingdom,728
Estonia,729
Czech Republic,731
Portugal,754
Germany,785
France,796
Iceland,797
Austria,799
Sweeden,800
Luxembourg,809
Finland,839
Belgium,849
Denmark,855
Norway,857
Netherlands,883
Switzerland,893
