eic_p,eic_g,name_p,name_g,capacity_p,capacity_g,type_g,lat,lon,country,NUTS2,status_g,year_commissioned,year_decommissioned,water_type,cooling_type,water_withdrawal,water_consumption,id
14W-WGM-KW-----J,14W-WGM1-M1----5,GDK-Mellach,GDK-Mellach Linie 10,838,421,Fossil Gas,46.933,15.517,Austria,AT22,COMMISSIONED,2012,,Freshwater,Once-through,43.07,0.38,6033
14W-WGM-KW-----J,14W-WGM2-M1----X,GDK-Mellach,GDK-Mellach Linie 20,838,417,Fossil Gas,46.933,15.517,Austria,AT22,COMMISSIONED,2012,,Freshwater,Once-through,43.07,0.38,6034
14WLSG-MITTE---U,,FHKW Linz Mitte,NA,253.8,253.8,Fossil Gas,48.299,14.324,Austria,AT31,COMMISSIONED,1970,,Freshwater,Once-through,43.07,0.38,6036
14W-KW-THE-EVN-7,14W-KW-THE-KO--3,Kraftwerk Theiß,Theiß Kombi,755,485,Fossil Gas,48.383,15.7,Austria,AT12,RESERVE,2000,,Freshwater,Once-through,132.48,0.91,6037
14W-KW-THE-EVN-7,14W-KW-THE-M2--7,Kraftwerk Theiß,Theiß 2,755,130,Fossil Gas,48.383,15.7,Austria,AT12,COMMISSIONED,1974,,Freshwater,Once-through,132.48,0.91,6038
14W-KW-THE-EVN-7,14W-KW-THE--M5-O,Kraftwerk Theiß,Theiß 5,755,230,Fossil Gas,48.383,15.7,Austria,AT12,COMMISSIONED,2000,,Freshwater,Once-through,132.48,0.91,6039
14W-KW-THE-EVN-7,14W-KW-THE--M3-U,Kraftwerk Theiß,Theiß 3,755,255,Fossil Gas,48.383,15.7,Austria,AT12,COMMISSIONED,2003,,Freshwater,Once-through,132.48,0.91,6040
14W-KW-DU2-EVN-K,14W-KW-DUE-EVN-A,Kraftwerk Dürnrohr,KW Dürnrohr Block 2,381.4,335,Fossil Hard coal,48.317,15.917,Austria,AT12,COMMISSIONED,1985,,Freshwater,Once-through,137.59,0.95,6041
14WLSG-1SUED---5,,FHKW Linz Süd,NA,158,158,Fossil Gas,48.299,14.324,Austria,AT31,COMMISSIONED,1993,,Freshwater,Once-through,43.07,0.38,6042
14W-KW-KO2-EVN-5,14W-KW-KOR-EVN-F,Kraftwerk Korneuburg,KW Korneuburg Block EVN,152,150,Fossil Gas,48.317,16.333,Austria,AT12,COMMISSIONED,1958,,Freshwater,Once-through,43.07,0.38,6044
14W-KW-KO2-EVN-5,14W-KW-KOR--M2-4,Kraftwerk Korneuburg,KW Korneuburg M2,152,101.2,Fossil Gas,48.317,16.333,Austria,AT12,COMMISSIONED,1958,,Freshwater,Once-through,43.07,0.38,6045
14W-WDR-KW-----2,14W-WDR-M1-----I,DKW Dürnrohr,DKW Dürnrohr,0,380,Fossil Hard coal,48.317,15.917,Austria,AT12,COMMISSIONED,1985,,Freshwater,Once-through,85.5,0.39,6050
14WENERGIE--WT02,14WENERGIEAGWT4S,Kraftwerk Timelkam GUD,Kraftwerk Timelkam GUD,400,400,Fossil Gas,48,13.583,Austria,AT31,COMMISSIONED,2008,,Freshwater,Mechanical Draught Tower,0.96,0.78,6058
14W-WNW-KW-----R,14W-WNW-M1-----6,FHKW Neudorf/Werndorf,FHKW Neudorf/Werndorf,0,150,Fossil Oil,46.917,15.483,Austria,AT22,COMMISSIONED,,,Freshwater,Natural Draught Tower,4.55,3.13,6061
14W-PROD-LAU---8,14W-GEN-LAU----Z,KW Leopoldau,Lau GuD,140,140,Fossil Gas,48.267,16.433,Austria,AT13,COMMISSIONED,1975,,Freshwater,Once-through,43.07,0.38,6062
14W-VOEST-KW---0,14W-BLOCK07-L--J,voestalpine KW Linz,Block 07 Linz,153,153,Fossil Gas,48.299,14.324,Austria,AT31,COMMISSIONED,,,Freshwater,Once-through,132.48,0.91,6063
14W-WML-KW-----0,14W-WML-M1-----G,FHKW Mellach,FHKW Mellach,200,200,Fossil Hard coal,46.933,15.517,Austria,AT22,COMMISSIONED,1986,,Freshwater,Once-through,137.59,0.95,6065
14W-PROD-DO----O,14W-GEN-DO3----F,KW Donaustadt,DO3,395,395,Fossil Gas,48.183,16.45,Austria,AT13,COMMISSIONED,2001,,Freshwater,Once-through,132.48,0.91,6068
14W-PROD-SIM---P,14W-GEN-SIM3---P,KW Simmering,Sim3,1272.2,420,Fossil Gas,48.167,16.433,Austria,AT13,COMMISSIONED,1992,,Freshwater,Once-through,43.07,0.38,6069
14W-PROD-SIM---P,14W-GEN-SIM1---Z,KW Simmering,Sim1,1272.2,828,Fossil Gas,48.167,16.433,Austria,AT13,COMMISSIONED,2009,,Freshwater,Once-through,43.07,0.38,6070
14WENERGIEAGWR05,14WENERGIEAGWR21,Kraftwerk Riedersbach 2,KW Riedersbach 2 G2,150,150,Fossil Hard coal,48.033,12.833,Austria,AT31,COMMISSIONED,1970,,Freshwater,Once-through,137.59,0.95,6074
36W-TE-TUZLA---K,36W-TE-TUZLA4--0,TE_TUZLA,TE_TUZLA_G4,730,200,Fossil Hard coal,44.52,18.605,Bosnia and Herzegovina,,COMMISSIONED,,,Freshwater,Natural Draught Tower,2.22,1.81,6079
